profile_id	source_product_id	source_product_name	target_product_id	target_product_name	split	rank	score	local_accord	visual_note	local_family	global_accord	global_family	cross_ref_global_to_local_accord	cross_ref_global_to_local_family	same_global_reference	sem_similar	enriched_cross_ref_bonus
8	8	Red Glass	1	Verve Vale	train	9	3.534848	0.500000	0.416667	1.500000	0.250000	0.000000	0.318182	0.000000	0.000000	0.350000	0.200000
8	8	Red Glass	6	Superclass Woman	train	11	2.919231	0.000000	0.416667	1.500000	0.533333	0.000000	0.269231	0.000000	0.000000	0.000000	0.200000
8	8	Red Glass	212	Waka-Waka	train	12	2.898718	0.250000	0.000000	0.000000	0.615385	1.250000	0.583333	0.000000	0.000000	0.000000	0.200000
8	8	Red Glass	4	Fancy Dress	test	1	5.585714	0.857143	0.416667	1.500000	0.428571	1.250000	0.583333	0.000000	0.000000	0.350000	0.200000
8	8	Red Glass	7	Black Lax	test	4	4.313114	0.857143	0.416667	1.500000	0.352941	0.000000	0.636364	0.000000	0.000000	0.350000	0.200000
8	8	Red Glass	233	Black Mirage	test	7	3.711966	0.222222	0.416667	0.000000	0.923077	1.250000	0.700000	0.000000	0.000000	0.000000	0.200000
8	8	Red Glass	2	Secret of Bandit	test	10	3.304274	0.222222	0.416667	1.500000	0.615385	0.000000	0.350000	0.000000	0.000000	0.000000	0.200000
9	9	Classic Vintage	4	Fancy Dress	train	2	4.286691	0.222222	0.416667	1.500000	0.428571	1.250000	0.269231	0.000000	0.000000	0.000000	0.200000
9	9	Classic Vintage	297	You So Lovely	train	3	4.259066	0.857143	0.000000	0.000000	1.076923	1.250000	0.875000	0.000000	0.000000	0.000000	0.200000
9	9	Classic Vintage	133	Fit Woman	train	5	3.682143	0.500000	0.000000	0.000000	0.857143	1.250000	0.875000	0.000000	0.000000	0.000000	0.200000
9	9	Classic Vintage	2	Secret of Bandit	train	6	3.583333	0.500000	0.416667	1.500000	0.266667	0.000000	0.350000	0.000000	0.000000	0.350000	0.200000
9	9	Classic Vintage	53	Glamorious	train	8	3.304167	0.500000	0.416667	0.000000	0.500000	1.250000	0.437500	0.000000	0.000000	0.000000	0.200000
9	9	Classic Vintage	69	Woman In Red	train	9	3.253030	0.500000	0.000000	0.000000	0.666667	1.250000	0.636364	0.000000	0.000000	0.000000	0.200000
9	9	Classic Vintage	198	Scent Vintage	train	11	3.107648	0.857143	0.000000	0.000000	1.272727	0.000000	0.777778	0.000000	0.000000	0.000000	0.200000
9	9	Classic Vintage	5	Moz Art	train	12	3.057071	0.222222	0.416667	1.500000	0.400000	0.000000	0.318182	0.000000	0.000000	0.000000	0.200000
9	9	Classic Vintage	8	Red Glass	test	1	4.358120	0.222222	0.416667	1.500000	0.500000	1.250000	0.269231	0.000000	0.000000	0.000000	0.200000
9	9	Classic Vintage	6	Superclass Woman	test	4	3.898329	0.222222	0.416667	1.500000	0.923077	0.000000	0.636364	0.000000	0.000000	0.000000	0.200000
